step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
10,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
15,1.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
20,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
25,2.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
30,2.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
35,3.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
40,3.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
45,4.4000,0.0900,0.0000,0.3000,0.0000,0.0000,escape
50,4.9000,0.1350,0.0000,0.4500,0.0000,0.0000,escape
55,5.4000,0.1350,0.0000,0.4501,0.0000,0.0000,escape
60,5.9000,0.1350,0.0000,0.4501,0.0000,0.0000,escape
65,6.4000,0.1350,0.0000,0.4501,0.0000,0.0000,walking
70,6.9000,0.1351,0.0000,0.4502,0.0000,0.0000,escape
75,7.4000,0.1357,0.0022,0.4502,0.0000,0.0000,walking
80,7.9000,0.1359,0.0028,0.4502,0.0000,0.0000,walking
85,8.4000,0.1362,0.0036,0.4503,0.0000,0.0000,walking
90,8.9000,0.1813,0.0040,0.6003,0.0000,0.0000,walking
95,9.4000,0.1814,0.0045,0.6003,0.0000,0.0000,walking
100,9.9000,0.1817,0.0053,0.6003,0.0000,0.0000,walking
105,10.4000,0.1832,0.0102,0.6003,0.0000,0.0000,walking
110,10.9000,0.1843,0.0139,0.6004,0.0000,0.0000,walking
115,11.4000,0.1843,0.0139,0.6004,0.0000,0.0000,walking
120,11.9000,0.1881,0.0264,0.6005,0.0000,0.0000,walking
125,12.4000,0.1848,0.0156,0.6005,0.0000,0.0000,walking
130,12.9000,0.1860,0.0194,0.6006,0.0000,0.0000,walking
135,13.4000,0.1864,0.0206,0.6006,0.0000,0.0000,walking
140,13.9000,0.1863,0.0202,0.6008,0.0000,0.0000,walking
145,14.4000,0.1860,0.0191,0.6008,0.0000,0.0000,walking
150,14.9000,0.3814,0.0080,0.6009,0.0000,0.9936,walking
155,15.4000,0.3817,0.0088,0.6010,0.0000,0.9936,walking
160,15.9000,0.3870,0.0264,0.6011,0.0000,0.9936,walking
165,16.4000,0.3907,0.0386,0.6012,0.0000,0.9936,walking
170,16.9000,0.3922,0.0434,0.6015,0.0000,0.9936,walking
175,17.4000,0.3908,0.0389,0.6015,0.0000,0.9936,walking
180,17.9000,0.3903,0.0368,0.6016,0.0000,0.9936,walking
185,18.4000,0.3900,0.0359,0.6018,0.0000,0.9936,walking
190,18.9000,0.3924,0.0437,0.6019,0.0000,0.9936,walking
195,19.4000,0.3926,0.0443,0.6021,0.0000,0.9936,walking
200,19.9000,0.4002,0.0572,0.6023,0.5145,0.4974,walking
205,20.4000,0.4751,0.0469,0.6025,0.9039,0.4974,walking
