step,phi_proxy
5,0.0000
10,0.0000
15,0.0000
20,0.0000
25,0.0000
30,0.0000
35,0.0000
40,0.0000
45,0.0000
50,0.0000
55,0.0000
60,0.0000
65,0.0000
70,0.0000
75,0.0022
80,0.0028
85,0.0036
90,0.0040
95,0.0045
100,0.0053
105,0.0102
110,0.0139
115,0.0139
120,0.0264
125,0.0156
130,0.0194
135,0.0206
140,0.0202
145,0.0191
150,0.0080
155,0.0088
160,0.0264
165,0.0386
170,0.0434
175,0.0389
180,0.0368
185,0.0359
190,0.0437
195,0.0443
200,0.0572
205,0.0469
210,0.0505
215,0.0568
220,0.0662
225,0.0862
230,0.0706
235,0.0735
240,0.0886
245,0.0882
250,0.1054
255,0.1409
260,0.1700
265,0.1680
270,0.1623
275,0.1795
280,0.1838
285,0.1651
290,0.1934
295,0.1885
300,0.2154
305,0.2311
310,0.2299
315,0.2144
320,0.2219
325,0.2326
330,0.2536
335,0.2440
340,0.2282
345,0.2055
350,0.2139
355,0.2125
360,0.2801
365,0.2333
370,0.2190
375,0.2420
380,0.2509
385,0.2332
390,0.2318
395,0.2617
400,0.2300
405,0.2599
410,0.2564
415,0.2092
420,0.2217
425,0.2053
430,0.2177
435,0.2277
440,0.2927
445,0.3002
450,0.2865
455,0.2604
460,0.2589
465,0.2273
470,0.2338
475,0.2251
480,0.2221
485,0.2165
490,0.2126
495,0.2161
500,0.2000
505,0.1859
510,0.1968
515,0.1899
520,0.1756
525,0.1838
530,0.1682
535,0.1738
540,0.2194
545,0.2018
550,0.1781
555,0.1706
560,0.1800
565,0.2189
570,0.2179
575,0.2137
580,0.2354
585,0.2609
590,0.2243
595,0.2179
600,0.2175
605,0.2536
610,0.2282
615,0.2934
620,0.2406
625,0.2520
630,0.2548
635,0.2822
640,0.2440
645,0.2502
650,0.2768
655,0.2818
660,0.2852
665,0.2725
670,0.2861
675,0.3230
680,0.3040
685,0.2405
690,0.2429
695,0.2452
700,0.2010
705,0.2028
710,0.2132
715,0.2223
720,0.2183
725,0.2612
730,0.2530
735,0.2360
740,0.2240
745,0.2308
750,0.2032
755,0.2132
760,0.2335
765,0.2543
770,0.2518
775,0.2146
780,0.2456
785,0.2345
790,0.2481
795,0.2579
800,0.2568
805,0.2621
810,0.2442
815,0.2586
820,0.2238
825,0.2555
830,0.2501
835,0.2709
840,0.2781
845,0.3030
850,0.2766
855,0.3145
860,0.2986
865,0.2567
870,0.2438
875,0.2213
880,0.2333
885,0.2030
890,0.2108
