step,phi_proxy
5,0.0000
10,0.0000
15,0.0000
20,0.0000
25,0.0000
30,0.0000
35,0.0000
40,0.0000
45,0.0000
50,0.0000
55,0.0000
60,0.0000
65,0.0000
70,0.0000
75,0.0000
80,0.0000
85,0.0000
90,0.0000
95,0.0000
100,0.0000
105,0.0000
110,0.0000
115,0.0000
120,0.0000
125,0.0000
130,0.0000
135,0.0000
140,0.0000
145,0.0000
150,0.0000
155,0.0000
160,0.0000
165,0.0000
170,0.0000
175,0.0000
180,0.0000
185,0.0000
190,0.0000
195,0.0000
200,0.0000
205,0.0000
210,0.0000
215,0.0000
220,0.0000
225,0.0000
230,0.0000
235,0.0000
240,0.0000
245,0.0000
250,0.0006
255,0.0006
260,0.0005
265,0.0004
270,0.0005
275,0.0007
280,0.0008
285,0.0008
290,0.0010
295,0.0008
300,0.0000
305,0.0000
310,0.0075
315,0.0135
320,0.0153
325,0.0175
330,0.0175
335,0.0187
340,0.0187
345,0.0093
350,0.0083
355,0.0074
360,0.0028
365,0.0007
370,0.0008
375,0.0007
380,0.0007
385,0.0007
390,0.0008
395,0.0000
400,0.0008
405,0.0015
410,0.0015
415,0.0026
420,0.0030
425,0.0038
430,0.0047
435,0.0023
440,0.0016
445,0.0012
450,0.0024
455,0.0054
460,0.0038
465,0.0029
470,0.0036
475,0.0030
480,0.0045
485,0.0018
490,0.0018
495,0.0020
500,0.0009
505,0.0022
510,0.0007
515,0.0007
520,0.0010
525,0.0000
530,0.0000
535,0.0000
540,0.0000
545,0.0000
550,0.0000
555,0.0000
560,0.0000
565,0.0007
570,0.0010
575,0.0010
580,0.0019
585,0.0026
590,0.0035
595,0.0035
600,0.0030
605,0.0027
610,0.0033
615,0.0033
620,0.0030
625,0.0035
630,0.0026
635,0.0019
640,0.0015
645,0.0022
650,0.0024
655,0.0013
660,0.0011
665,0.0000
670,0.0000
675,0.0169
680,0.0236
685,0.0236
690,0.0180
695,0.0164
700,0.0169
705,0.0166
710,0.0166
715,0.0169
720,0.0172
725,0.0027
730,0.0027
735,0.0022
740,0.0012
745,0.0000
750,0.0000
755,0.0000
760,0.0000
765,0.0000
770,0.0000
775,0.0000
780,0.0000
785,0.0000
790,0.0000
795,0.0000
800,0.0000
805,0.0000
810,0.0000
815,0.0000
820,0.0000
825,0.0000
830,0.0013
835,0.0013
840,0.0008
845,0.0004
850,0.0005
855,0.0016
860,0.0013
865,0.0020
870,0.0029
875,0.0020
880,0.0047
885,0.0047
890,0.0017
895,0.0023
900,0.0034
905,0.0014
910,0.0013
915,0.0062
920,0.0062
925,0.0114
930,0.0100
935,0.0095
940,0.0100
945,0.0095
950,0.0095
955,0.0085
960,0.0098
965,0.0000
970,0.0007
975,0.0006
980,0.0004
985,0.0004
990,0.0006
995,0.0009
1000,0.0012
1005,0.0024
1010,0.0024
1015,0.0028
1020,0.0021
1025,0.0024
1030,0.0031
1035,0.0028
1040,0.0025
1045,0.0012
1050,0.0013
1055,0.0000
1060,0.0000
1065,0.0000
1070,0.0000
1075,0.0000
1080,0.0000
1085,0.0005
1090,0.0024
1095,0.0032
1100,0.0042
1105,0.0042
1110,0.0029
1115,0.0029
1120,0.0023
1125,0.0023
1130,0.0017
1135,0.0017
1140,0.0016
1145,0.0022
1150,0.0015
1155,0.0019
1160,0.0016
1165,0.0019
1170,0.0016
1175,0.0016
1180,0.0015
1185,0.0037
1190,0.0032
1195,0.0037
1200,0.0032
1205,0.0027
1210,0.0027
1215,0.0010
1220,0.0003
1225,0.0022
1230,0.0036
1235,0.0006
1240,0.0003
1245,0.0007
1250,0.0005
1255,0.0022
1260,0.0021
1265,0.0025
1270,0.0038
1275,0.0020
1280,0.0038
1285,0.0050
1290,0.0052
1295,0.0051
1300,0.0054
1305,0.0044
1310,0.0050
1315,0.0057
1320,0.0067
1325,0.0057
1330,0.0006
1335,0.0005
1340,0.0004
1345,0.0004
1350,0.0000
1355,0.0003
1360,0.0004
1365,0.0006
1370,0.0006
1375,0.0005
1380,0.0006
1385,0.0004
1390,0.0006
1395,0.0007
1400,0.0008
1405,0.0000
1410,0.0000
1415,0.0000
1420,0.0000
1425,0.0000
1430,0.0000
1435,0.0000
1440,0.0075
1445,0.0079
1450,0.0027
1455,0.0008
1460,0.0008
1465,0.0010
1470,0.0010
1475,0.0024
1480,0.0042
1485,0.0042
1490,0.0006
1495,0.0013
1500,0.0006
1505,0.0000
1510,0.0000
1515,0.0000
1520,0.0000
1525,0.0000
1530,0.0012
1535,0.0011
1540,0.0035
1545,0.0048
1550,0.0048
1555,0.0023
1560,0.0013
1565,0.0016
1570,0.0017
1575,0.0061
1580,0.0071
1585,0.0057
1590,0.0009
1595,0.0009
1600,0.0004
1605,0.0014
1610,0.0024
1615,0.0009
1620,0.0000
1625,0.0035
1630,0.0030
1635,0.0035
1640,0.0035
1645,0.0030
1650,0.0030
1655,0.0042
1660,0.0042
1665,0.0028
1670,0.0013
1675,0.0011
1680,0.0009
1685,0.0009
1690,0.0009
1695,0.0009
1700,0.0176
1705,0.0171
1710,0.0104
1715,0.0105
1720,0.0107
1725,0.0108
1730,0.0090
1735,0.0092
1740,0.0090
1745,0.0084
1750,0.0037
1755,0.0041
1760,0.0041
1765,0.0037
1770,0.0041
1775,0.0041
1780,0.0032
1785,0.0016
1790,0.0016
1795,0.0000
1800,0.0000
1805,0.0000
1810,0.0000
1815,0.0070
1820,0.0079
1825,0.0085
1830,0.0098
1835,0.0291
1840,0.0291
1845,0.0270
1850,0.0291
1855,0.0291
1860,0.0291
1865,0.0202
1870,0.0202
1875,0.0202
1880,0.0220
1885,0.0000
1890,0.0000
1895,0.0000
1900,0.0000
1905,0.0000
1910,0.0000
1915,0.0000
1920,0.0000
1925,0.0000
1930,0.0000
1935,0.0000
1940,0.0000
1945,0.0000
1950,0.0000
1955,0.0011
1960,0.0012
1965,0.0012
1970,0.0037
1975,0.0070
1980,0.0085
1985,0.0061
1990,0.0055
1995,0.0055
2000,0.0047
2005,0.0033
2010,0.0030
2015,0.0038
2020,0.0027
2025,0.0012
2030,0.0010
2035,0.0010
2040,0.0006
2045,0.0005
2050,0.0006
2055,0.0006
2060,0.0000
2065,0.0000
2070,0.0000
2075,0.0000
2080,0.0000
2085,0.0000
2090,0.0000
2095,0.0000
2100,0.0000
2105,0.0000
2110,0.0000
2115,0.0000
2120,0.0000
2125,0.0000
2130,0.0000
2135,0.0000
2140,0.0000
2145,0.0000
2150,0.0000
2155,0.0000
2160,0.0000
2165,0.0000
2170,0.0000
2175,0.0000
2180,0.0000
2185,0.0007
2190,0.0008
2195,0.0013
2200,0.0010
2205,0.0008
2210,0.0010
2215,0.0015
2220,0.0026
2225,0.0022
2230,0.0026
2235,0.0022
2240,0.0026
2245,0.0022
2250,0.0022
2255,0.0030
2260,0.0039
2265,0.0026
2270,0.0021
2275,0.0033
2280,0.0035
2285,0.0030
2290,0.0026
2295,0.0026
2300,0.0030
2305,0.0020
2310,0.0000
2315,0.0013
2320,0.0012
2325,0.0011
2330,0.0013
2335,0.0015
2340,0.0015
2345,0.0013
2350,0.0030
2355,0.0035
2360,0.0030
2365,0.0013
2370,0.0012
2375,0.0011
2380,0.0013
2385,0.0010
2390,0.0016
